"nome_produto","qtd_vendida","mes","pais","regiao","cidade","Excesso"
"Camembert Pierrot","30",9,"Germany",NULL,"Köln",True
"Camembert Pierrot","20",9,"Germany",NULL,"München",True
"Camembert Pierrot","30",9,"USA","ID","Boise",True
"Camembert Pierrot","10",10,"Brazil","SP","Campinas",True
"Camembert Pierrot","15",11,"Brazil","SP","Sao Paulo",True
"Camembert Pierrot","50",11,"Canada","BC","Tsawassen",True
"Camembert Pierrot","55",11,"Germany",NULL,"Cunewalde",True
"Camembert Pierrot","80",11,"UK",NULL,"London",True
"Camembert Pierrot","8",11,"Venezuela","Lara","Barquisimeto",True
"Camembert Pierrot","70",12,"Brazil","SP","Sao Paulo",True
"Camembert Pierrot","6",12,"Ireland","Co. Cork","Cork",True
"Camembert Pierrot","15",12,"Sweden",NULL,"Luleå",True
"Camembert Pierrot","15",12,"UK","Essex","Colchester",True
"Camembert Pierrot","20",12,"USA","WY","Lander",True
"Carnarvon Tigers","10",1,"Germany",NULL,"Mannheim",True
"Carnarvon Tigers","20",1,"USA","WA","Seattle",True
"Carnarvon Tigers","25",1,"Venezuela","Nueva Esparta","I. de Margarita",True
"Carnarvon Tigers","25",2,"Brazil","RJ","Rio de Janeiro",True
"Carnarvon Tigers","4",3,"Brazil","SP","Resende",True
"Carnarvon Tigers","30",3,"France",NULL,"Marseille",True
"Carnarvon Tigers","6",3,"France",NULL,"Paris",True
"Carnarvon Tigers","8",3,"Ireland","Co. Cork","Cork",True
"Carnarvon Tigers","35",4,"Austria",NULL,"Salzburg",True
"Carnarvon Tigers","25",4,"Ireland","Co. Cork","Cork",True
"Carnarvon Tigers","8",4,"Italy",NULL,"Torino",True
"Carnarvon Tigers","10",4,"USA","OR","Portland",True
"Carnarvon Tigers","18",6,"France",NULL,"Strasbourg",True
"Carnarvon Tigers","40",7,"Germany",NULL,"Cunewalde",True
"Carnarvon Tigers","20",8,"Brazil","RJ","Rio de Janeiro",True
"Carnarvon Tigers","4",8,"Brazil","SP","Resende",True
"Carnarvon Tigers","50",8,"France",NULL,"Lille",True
"Carnarvon Tigers","12",8,"Mexico",NULL,"México D.F.",True
"Carnarvon Tigers","8",8,"Norway",NULL,"Stavern",True
"Carnarvon Tigers","25",9,"USA","AK","Anchorage",True
"Carnarvon Tigers","40",10,"Canada","Québec","Montréal",True
"Carnarvon Tigers","20",10,"France",NULL,"Marseille",True
"Carnarvon Tigers","12",10,"USA","CA","San Francisco",True
"Carnarvon Tigers","24",11,"Germany",NULL,"Cunewalde",True
"Carnarvon Tigers","21",11,"USA","WY","Lander",True
"Carnarvon Tigers","9",12,"Austria",NULL,"Graz",True
"Carnarvon Tigers","30",12,"France",NULL,"Lille",True
"Chai","10",1,"Brazil","SP","Sao Paulo",True
"Chai","24",1,"France",NULL,"Toulouse",True
"Chai","80",1,"USA","ID","Boise",True
"Chai","4",1,"Venezuela","Nueva Esparta","I. de Margarita",True
"Chai","20",2,"Brazil","SP","Resende",True
"Chai","10",2,"Spain",NULL,"Sevilla",True
"Chai","40",2,"UK",NULL,"London",True
"Chai","20",2,"Venezuela","Táchira","San Cristóbal",True
"Chai","21",3,"Brazil","SP","Resende",True
"Chai","60",3,"Canada","BC","Tsawassen",True
"Chai","15",3,"Portugal",NULL,"Lisboa",True
"Chai","10",4,"Belgium",NULL,"Charleroi",True
"Chai","2",4,"Finland",NULL,"Helsinki",True
"Chai","10",4,"Finland",NULL,"Oulu",True
"Chai","40",4,"Germany",NULL,"Frankfurt a.M.",True
"Chai","25",4,"UK",NULL,"London",True
"Chai","45",4,"USA","ID","Boise",True
"Chai","4",4,"USA","MT","Butte",True
"Chai","8",4,"USA","OR","Eugene",True
"Chai","8",5,"Finland",NULL,"Oulu",True
"Chai","40",5,"Germany",NULL,"Frankfurt a.M.",True
"Chai","10",6,"Mexico",NULL,"México D.F.",True
"Chai","20",7,"Canada","Québec","Montréal",True
"Chai","3",7,"France",NULL,"Nantes",True
"Chai","6",7,"Poland",NULL,"Warszawa",True
"Chai","25",8,"France",NULL,"Strasbourg",True
"Chai","45",8,"Germany",NULL,"Cunewalde",True
"Chai","15",8,"Ireland","Co. Cork","Cork",True
"Chai","18",8,"USA","NM","Albuquerque",True
"Chai","20",9,"USA","OR","Portland",True
"Chai","30",10,"Germany",NULL,"Cunewalde",True
"Chai","35",10,"Sweden",NULL,"Luleå",True
"Chai","5",10,"USA","ID","Boise",True
"Chai","15",11,"Germany",NULL,"Stuttgart",True
"Chai","12",11,"Mexico",NULL,"México D.F.",True
"Chai","8",11,"UK",NULL,"London",True
"Chai","50",11,"Venezuela","Nueva Esparta","I. de Margarita",True
"Chai","15",12,"Switzerland",NULL,"Bern",True
"Chang","17",1,"Brazil","RJ","Rio de Janeiro",False
"Chang","60",1,"Germany",NULL,"Cunewalde",False
"Chang","20",1,"Mexico",NULL,"México D.F.",False
"Chang","10",1,"UK","Isle of Wight","Cowes",False
"Chang","15",1,"USA","NM","Albuquerque",False
"Chang","20",2,"Belgium",NULL,"Charleroi",False
"Chang","20",2,"Spain",NULL,"Sevilla",False
"Chang","21",2,"Sweden",NULL,"Luleå",False
"Chang","10",2,"UK",NULL,"London",False
"Chang","45",2,"USA","ID","Boise",False
"Chang","10",3,"Italy",NULL,"Bergamo",False
"Chang","40",3,"USA","WA","Seattle",False
"Chang","20",3,"Venezuela","Nueva Esparta","I. de Margarita",False
"Chang","10",4,"Brazil","SP","Campinas",False
"Chang","61",4,"Germany",NULL,"Cunewalde",False
"Chang","30",4,"Switzerland",NULL,"Bern",False
"Chang","100",4,"USA","ID","Boise",False
"Chang","12",4,"USA","WA","Seattle",False
"Chang","8",5,"Austria",NULL,"Graz",False
"Chang","20",5,"Germany",NULL,"Frankfurt a.M.",False
"Chang","10",5,"Switzerland",NULL,"Genève",False
"Chang","24",5,"USA","NM","Albuquerque",False
"Chang","50",7,"Austria",NULL,"Graz",False
"Chang","10",7,"Poland",NULL,"Warszawa",False
"Chang","35",7,"Sweden",NULL,"Bräcke",False
"Chang","20",7,"Switzerland",NULL,"Genève",False
"Chang","20",8,"Brazil","RJ","Rio de Janeiro",False
"Chang","30",8,"Germany",NULL,"Stuttgart",False
"Chang","50",8,"Venezuela","Táchira","San Cristóbal",False
"Chang","40",9,"Ireland","Co. Cork","Cork",False
"Chang","24",10,"Germany",NULL,"München",False
"Chang","7",10,"Ireland","Co. Cork","Cork",False
"Chang","30",10,"Sweden",NULL,"Bräcke",False
"Chang","33",10,"USA","ID","Boise",False
"Chang","15",11,"UK","Essex","Colchester",False
"Chang","20",12,"France",NULL,"Lyon",False
"Chang","15",12,"France",NULL,"Toulouse",False
"Chang","40",12,"Germany",NULL,"Köln",False
"Chang","10",12,"Poland",NULL,"Warszawa",False
"Chang","25",12,"USA","ID","Boise",False
"Chartreuse verte","28",1,"Brazil","SP","Sao Paulo",True
"Chartreuse verte","21",1,"France",NULL,"Marseille",True
"Chartreuse verte","10",1,"Venezuela","Nueva Esparta","I. de Margarita",True
"Chartreuse verte","45",2,"Austria",NULL,"Graz",True
"Chartreuse verte","20",2,"Finland",NULL,"Oulu",True
"Chartreuse verte","80",2,"Germany",NULL,"Cunewalde",True
"Chartreuse verte","6",2,"Sweden",NULL,"Luleå",True
"Chartreuse verte","8",2,"Venezuela","Lara","Barquisimeto",True
"Chartreuse verte","20",3,"Portugal",NULL,"Lisboa",True
"Chartreuse verte","30",3,"Sweden",NULL,"Bräcke",True
"Chartreuse verte","10",4,"Germany",NULL,"Köln",True
"Chartreuse verte","20",5,"Mexico",NULL,"México D.F.",True
"Chartreuse verte","2",5,"USA","NM","Albuquerque",True
"Chartreuse verte","10",6,"USA","WA","Kirkland",True
"Chartreuse verte","42",7,"Brazil","RJ","Rio de Janeiro",True
"Chartreuse verte","5",7,"Germany",NULL,"Mannheim",True
"Chartreuse verte","6",7,"Venezuela","Táchira","San Cristóbal",True
"Chartreuse verte","20",8,"Brazil","RJ","Rio de Janeiro",True
"Chartreuse verte","21",8,"Germany",NULL,"Berlin",True
"Chartreuse verte","60",9,"France",NULL,"Strasbourg",True
"Chartreuse verte","3",9,"Ireland","Co. Cork","Cork",True
"Chartreuse verte","20",9,"Sweden",NULL,"Luleå",True
"Chartreuse verte","30",9,"USA","AK","Anchorage",True
"Chartreuse verte","4",10,"Germany",NULL,"Brandenburg",True
"Chartreuse verte","50",11,"Brazil","SP","Sao Paulo",True
"Chartreuse verte","54",11,"Germany",NULL,"Cunewalde",True
"Chartreuse verte","130",12,"Austria",NULL,"Graz",True
"Chartreuse verte","2",12,"Italy",NULL,"Bergamo",True
"Chartreuse verte","16",12,"Sweden",NULL,"Bräcke",True
"Chartreuse verte","20",12,"UK",NULL,"London",True
"Chef Anton's Cajun Seasoning","21",1,"Belgium",NULL,"Charleroi",True
"Chef Anton's Cajun Seasoning","30",2,"Brazil","SP","Sao Paulo",True
"Chef Anton's Cajun Seasoning","5",3,"Italy",NULL,"Bergamo",True
"Chef Anton's Cajun Seasoning","16",3,"Portugal",NULL,"Lisboa",True
"Chef Anton's Cajun Seasoning","50",4,"France",NULL,"Marseille",True
"Chef Anton's Cajun Seasoning","25",4,"USA","NM","Albuquerque",True
"Chef Anton's Cajun Seasoning","50",5,"Germany",NULL,"Cunewalde",True
"Chef Anton's Cajun Seasoning","50",5,"Sweden",NULL,"Bräcke",True
"Chef Anton's Cajun Seasoning","1",5,"USA","NM","Albuquerque",True
"Chef Anton's Cajun Seasoning","20",7,"Brazil","SP","Sao Paulo",True
"Chef Anton's Cajun Seasoning","25",8,"Finland",NULL,"Oulu",True
"Chef Anton's Cajun Seasoning","10",8,"Italy",NULL,"Bergamo",True
"Chef Anton's Cajun Seasoning","20",9,"Ireland","Co. Cork","Cork",True
"Chef Anton's Cajun Seasoning","12",9,"Sweden",NULL,"Luleå",True
"Chef Anton's Cajun Seasoning","6",10,"Brazil","SP","Sao Paulo",True
"Chef Anton's Cajun Seasoning","10",10,"Canada","Québec","Montréal",True
"Chef Anton's Cajun Seasoning","18",10,"Portugal",NULL,"Lisboa",True
"Chef Anton's Cajun Seasoning","24",10,"Spain",NULL,"Madrid",True
"Chef Anton's Cajun Seasoning","25",11,"UK",NULL,"London",True
"Chef Anton's Cajun Seasoning","35",11,"USA","WA","Seattle",True
"Chef Anton's Gumbo Mix","30",1,"UK",NULL,"London",True
"Chef Anton's Gumbo Mix","20",3,"Argentina",NULL,"Buenos Aires",True
"Chef Anton's Gumbo Mix","30",4,"UK",NULL,"London",True
"Chef Anton's Gumbo Mix","70",4,"USA","ID","Boise",True
"Chef Anton's Gumbo Mix","65",7,"Austria",NULL,"Graz",True
"Chef Anton's Gumbo Mix","12",7,"USA","NM","Albuquerque",True
"Chef Anton's Gumbo Mix","20",8,"Brazil","SP","Sao Paulo",True
"Chef Anton's Gumbo Mix","15",8,"Italy",NULL,"Bergamo",True
"Chef Anton's Gumbo Mix","4",10,"USA","OR","Portland",True
"Chef Anton's Gumbo Mix","32",12,"Austria",NULL,"Graz",True
"Chocolade","70",1,"Austria",NULL,"Graz",False
"Chocolade","8",1,"France",NULL,"Lyon",False
"Chocolade","15",2,"UK","Essex","Colchester",False
"Chocolade","15",4,"Mexico",NULL,"México D.F.",False
"Chocolade","6",7,"Portugal",NULL,"Lisboa",False
"Chocolade","24",10,"Brazil","SP","Sao Paulo",False
"Côte de Blaye","2",1,"Argentina",NULL,"Buenos Aires",True
"Côte de Blaye","49",1,"Canada","Québec","Montréal",True
"Côte de Blaye","50",1,"Denmark",NULL,"Kobenhavn",True
"Côte de Blaye","30",1,"Germany",NULL,"Brandenburg",True
"Côte de Blaye","8",1,"Norway",NULL,"Stavern",True
"Côte de Blaye","30",1,"USA","OR","Eugene",True
"Côte de Blaye","60",2,"Germany",NULL,"Cunewalde",True
"Côte de Blaye","40",2,"USA","NM","Albuquerque",True
"Côte de Blaye","60",3,"Brazil","RJ","Rio de Janeiro",True
"Côte de Blaye","5",3,"France",NULL,"Paris",True
"Côte de Blaye","30",3,"USA","NM","Albuquerque",True
"Côte de Blaye","15",4,"Mexico",NULL,"México D.F.",True
"Côte de Blaye","25",4,"USA","WA","Seattle",True
"Côte de Blaye","4",5,"Brazil","RJ","Rio de Janeiro",True
"Côte de Blaye","30",5,"Germany",NULL,"Cunewalde",True
"Côte de Blaye","15",7,"USA","OR","Eugene",True
"Côte de Blaye","15",9,"Sweden",NULL,"Luleå",True
"Côte de Blaye","20",10,"USA","WY","Lander",True
"Côte de Blaye","20",11,"Austria",NULL,"Graz",True
"Côte de Blaye","50",11,"Austria",NULL,"Salzburg",True
"Côte de Blaye","10",11,"France",NULL,"Strasbourg",True
"Côte de Blaye","5",12,"Brazil","RJ","Rio de Janeiro",True
"Côte de Blaye","40",12,"Brazil","SP","Sao Paulo",True
"Côte de Blaye","10",12,"USA","OR","Portland",True
"Escargots de Bourgogne","30",1,"Brazil","SP","Sao Paulo",True
"Escargots de Bourgogne","60",1,"Germany",NULL,"Cunewalde",True
"Escargots de Bourgogne","15",2,"Brazil","SP","Sao Paulo",True
"Escargots de Bourgogne","15",2,"USA","WA","Seattle",True
"Escargots de Bourgogne","12",2,"Venezuela","Táchira","San Cristóbal",True
"Escargots de Bourgogne","30",3,"Belgium",NULL,"Charleroi",True
"Escargots de Bourgogne","40",4,"Germany",NULL,"Berlin",True
"Escargots de Bourgogne","20",5,"Switzerland",NULL,"Genève",True
"Escargots de Bourgogne","30",7,"USA","AK","Anchorage",True
"Escargots de Bourgogne","6",8,"Finland",NULL,"Oulu",True
"Escargots de Bourgogne","30",9,"Germany",NULL,"München",True
"Escargots de Bourgogne","49",9,"Ireland","Co. Cork","Cork",True
"Escargots de Bourgogne","30",9,"USA","NM","Albuquerque",True
"Escargots de Bourgogne","30",10,"Sweden",NULL,"Bräcke",True
"Escargots de Bourgogne","12",10,"USA","ID","Boise",True
"Escargots de Bourgogne","30",10,"Venezuela","Nueva Esparta","I. de Margarita",True
"Escargots de Bourgogne","80",12,"Ireland","Co. Cork","Cork",True
"Escargots de Bourgogne","15",12,"Poland",NULL,"Warszawa",True
"Filo Mix","20",1,"Brazil","SP","Resende",True
"Filo Mix","8",1,"Germany",NULL,"Frankfurt a.M.",True
"Filo Mix","20",2,"France",NULL,"Strasbourg",True
"Filo Mix","15",2,"Germany",NULL,"Münster",True
"Filo Mix","14",2,"Italy",NULL,"Reggio Emilia",True
"Filo Mix","12",3,"Brazil","RJ","Rio de Janeiro",True
"Filo Mix","6",3,"Brazil","SP","Sao Paulo",True
"Filo Mix","5",3,"France",NULL,"Versailles",True
"Filo Mix","40",3,"Spain",NULL,"Madrid",True
"Filo Mix","2",4,"Belgium",NULL,"Charleroi",True
"Filo Mix","6",4,"UK",NULL,"London",True
"Filo Mix","10",4,"USA","MT","Butte",True
"Filo Mix","20",4,"Venezuela","Lara","Barquisimeto",True
"Filo Mix","2",5,"USA","NM","Albuquerque",True
"Filo Mix","70",6,"Brazil","RJ","Rio de Janeiro",True
"Filo Mix","30",6,"UK","Essex","Colchester",True
"Filo Mix","4",7,"Italy",NULL,"Reggio Emilia",True
"Filo Mix","24",7,"USA","AK","Anchorage",True
"Filo Mix","5",8,"Canada","BC","Vancouver",True
"Filo Mix","9",9,"France",NULL,"Nantes",True
"Filo Mix","4",10,"Brazil","SP","Sao Paulo",True
"Filo Mix","8",10,"France",NULL,"Lyon",True
"Filo Mix","20",10,"Mexico",NULL,"México D.F.",True
"Filo Mix","18",11,"France",NULL,"Reims",True
"Filo Mix","25",11,"Sweden",NULL,"Luleå",True
"Filo Mix","60",11,"Switzerland",NULL,"Genève",True
"Filo Mix","15",12,"Denmark",NULL,"Århus",True
"Filo Mix","8",12,"UK","Essex","Colchester",True
"Filo Mix","20",12,"UK",NULL,"London",True
"Flotemysost","15",1,"Germany",NULL,"Köln",True
"Flotemysost","55",1,"USA","ID","Boise",True
"Flotemysost","60",1,"USA","NM","Albuquerque",True
"Flotemysost","50",2,"Belgium",NULL,"Charleroi",True
"Flotemysost","2",2,"Brazil","RJ","Rio de Janeiro",True
"Flotemysost","25",2,"Brazil","SP","Sao Paulo",True
"Flotemysost","30",2,"Finland",NULL,"Oulu",True
"Flotemysost","30",2,"Venezuela","Táchira","San Cristóbal",True
"Flotemysost","35",3,"Germany",NULL,"Cunewalde",True
"Flotemysost","12",3,"UK","Isle of Wight","Cowes",True
"Flotemysost","21",4,"Austria",NULL,"Graz",True
"Flotemysost","30",4,"Belgium",NULL,"Charleroi",True
"Flotemysost","20",4,"Germany",NULL,"Berlin",True
"Flotemysost","60",4,"Germany",NULL,"München",True
"Flotemysost","50",4,"UK",NULL,"London",True
"Flotemysost","16",4,"USA","ID","Boise",True
"Flotemysost","9",5,"Brazil","RJ","Rio de Janeiro",True
"Flotemysost","15",7,"Canada","Québec","Montréal",True
"Flotemysost","9",7,"USA","NM","Albuquerque",True
"Flotemysost","15",7,"USA","OR","Eugene",True
"Flotemysost","20",8,"France",NULL,"Reims",True
"Flotemysost","30",8,"Ireland","Co. Cork","Cork",True
"Flotemysost","20",8,"Sweden",NULL,"Luleå",True
"Flotemysost","15",8,"UK","Isle of Wight","Cowes",True
"Flotemysost","14",9,"Austria",NULL,"Graz",True
"Flotemysost","3",9,"Ireland","Co. Cork","Cork",True
"Flotemysost","2",9,"Mexico",NULL,"México D.F.",True
"Flotemysost","12",9,"Sweden",NULL,"Luleå",True
"Flotemysost","8",10,"Brazil","RJ","Rio de Janeiro",True
"Flotemysost","70",10,"Finland",NULL,"Oulu",True
"Flotemysost","30",10,"France",NULL,"Marseille",True
"Flotemysost","20",10,"Ireland","Co. Cork","Cork",True
"Flotemysost","60",10,"USA","ID","Boise",True
"Flotemysost","5",11,"UK",NULL,"London",True
"Flotemysost","16",12,"Austria",NULL,"Graz",True
"Flotemysost","30",12,"Denmark",NULL,"Århus",True
"Flotemysost","60",12,"Germany",NULL,"München",True
"Flotemysost","50",12,"Ireland","Co. Cork","Cork",True
"Flotemysost","15",12,"Norway",NULL,"Stavern",True
"Flotemysost","6",12,"Sweden",NULL,"Bräcke",True
"Flotemysost","12",12,"UK","Essex","Colchester",True
"Geitost","50",1,"Brazil","SP","Sao Paulo",True
"Geitost","49",1,"Canada","BC","Tsawassen",True
"Geitost","4",1,"France",NULL,"Lyon",True
"Geitost","16",1,"USA","ID","Boise",True
"Geitost","20",1,"USA","OR","Elgin",True
"Geitost","35",1,"USA","WA","Seattle",True
"Geitost","40",2,"Brazil","SP","Sao Paulo",True
"Geitost","20",2,"France",NULL,"Toulouse",True
"Geitost","30",2,"Mexico",NULL,"México D.F.",True
"Geitost","7",3,"France",NULL,"Versailles",True
"Geitost","15",3,"Switzerland",NULL,"Genève",True
"Geitost","12",3,"UK","Isle of Wight","Cowes",True
"Geitost","10",4,"Argentina",NULL,"Buenos Aires",True
"Geitost","15",4,"Canada","BC","Tsawassen",True
"Geitost","16",4,"Germany",NULL,"Cunewalde",True
"Geitost","30",4,"UK",NULL,"London",True
"Geitost","30",5,"Germany",NULL,"Frankfurt a.M.",True
"Geitost","15",5,"UK",NULL,"London",True
"Geitost","8",5,"USA","OR","Eugene",True
"Geitost","20",6,"Italy",NULL,"Reggio Emilia",True
"Geitost","14",6,"USA","WA","Kirkland",True
"Geitost","25",7,"Belgium",NULL,"Charleroi",True
"Geitost","14",7,"USA","ID","Boise",True
"Geitost","60",7,"USA","WA","Seattle",True
"Geitost","20",8,"Germany",NULL,"Cunewalde",True
"Geitost","20",8,"Germany",NULL,"Stuttgart",True
"Geitost","24",8,"USA","WY","Lander",True
"Geitost","38",9,"Mexico",NULL,"México D.F.",True
"Geitost","30",9,"USA","ID","Boise",True
"Geitost","8",10,"Denmark",NULL,"Kobenhavn",True
"Geitost","60",12,"Austria",NULL,"Graz",True
"Genen Shouyu","12",4,"France",NULL,"Toulouse",True
