"produto","cidade_produto","pais_produto","data_inteira"
"Rhönbräu Klosterbier","Luleå","Sweden","1996-08-14"
"Steeleye Stout","Madrid","Spain","1996-08-14"
"Teatime Chocolate Biscuits","Madrid","Spain","1996-08-14"
"Nord-Ost Matjeshering","Madrid","Spain","1996-08-15"
"Ravioli Angelo","Madrid","Spain","1996-08-15"
"Camembert Pierrot","Barquisimeto","Venezuela","1996-08-16"
"Genen Shouyu","Barquisimeto","Venezuela","1996-08-16"
"Mozzarella di Giovanni","Barquisimeto","Venezuela","1996-08-16"
"Teatime Chocolate Biscuits","Barquisimeto","Venezuela","1996-08-16"
"Camembert Pierrot","Frankfurt a.M.","Germany","1996-08-19"
"Gula Malacca","Frankfurt a.M.","Germany","1996-08-19"
"Laughing Lumberjack Lager","Frankfurt a.M.","Germany","1996-08-19"
"Schoggi Schokolade","Frankfurt a.M.","Germany","1996-08-19"
"Boston Crab Meat","Cunewalde","Germany","1996-08-20"
"Chai","Cunewalde","Germany","1996-08-20"
"Perth Pasties","Cunewalde","Germany","1996-08-20"
"Steeleye Stout","Cunewalde","Germany","1996-08-21"
"Tarte au sucre","Cunewalde","Germany","1996-08-21"
"Pavlova","Rio de Janeiro","Brazil","1996-08-22"
"Sasquatch Ale","Rio de Janeiro","Brazil","1996-08-22"
"Spegesild","Rio de Janeiro","Brazil","1996-08-22"
"Scottish Longbreads","Reggio Emilia","Italy","1996-08-23"
"Tourtière","Reggio Emilia","Italy","1996-08-23"
"Aniseed Syrup","London","UK","1996-08-26"
"Wimmers gute Semmelknödel","London","UK","1996-08-26"
"Chef Anton's Gumbo Mix","Sao Paulo","Brazil","1996-08-27"
"Gula Malacca","Rio de Janeiro","Brazil","1996-08-27"
"Konbu","Rio de Janeiro","Brazil","1996-08-27"
"Manjimup Dried Apples","Rio de Janeiro","Brazil","1996-08-27"
"Maxilaku","Sao Paulo","Brazil","1996-08-27"
"Original Frankfurter grüne Soße","Sao Paulo","Brazil","1996-08-27"
"Thüringer Rostbratwurst","Sao Paulo","Brazil","1996-08-27"
"Sir Rodney's Marmalade","Sao Paulo","Brazil","1996-08-28"
"Carnarvon Tigers","México D.F.","Mexico","1996-08-29"
"Guaraná Fantástica","México D.F.","Mexico","1996-08-29"
"Rhönbräu Klosterbier","México D.F.","Mexico","1996-08-29"
"Vegie-spread","México D.F.","Mexico","1996-08-29"
"Alice Mutton","Albuquerque","USA","1996-08-30"
"Camembert Pierrot","Albuquerque","USA","1996-08-30"
"Chai","Albuquerque","USA","1996-08-30"
"Ipoh Coffee","Albuquerque","USA","1996-08-30"
"Rhönbräu Klosterbier","Albuquerque","USA","1996-08-30"
"Gnocchi di nonna Alice","Reims","France","1996-09-02"
"Gudbrandsdalsost","Barquisimeto","Venezuela","1996-09-03"
"Pavlova","Barquisimeto","Venezuela","1996-09-03"
"Queso Cabrales","Barquisimeto","Venezuela","1996-09-03"
"Chartreuse verte","Strasbourg","France","1996-09-04"
"Mozzarella di Giovanni","Strasbourg","France","1996-09-04"
"Chang","Cork","Ireland","1996-09-05"
"Inlagd Sill","Cork","Ireland","1996-09-05"
"Raclette Courdavault","Cork","Ireland","1996-09-05"
"Tarte au sucre","Cork","Ireland","1996-09-05"
"Outback Lager","Rio de Janeiro","Brazil","1996-09-06"
"Teatime Chocolate Biscuits","Rio de Janeiro","Brazil","1996-09-06"
"Boston Crab Meat","Stuttgart","Germany","1996-09-09"
"Gnocchi di nonna Alice","Stuttgart","Germany","1996-09-09"
"Louisiana Hot Spiced Okra","Bergamo","Italy","1996-09-09"
"Scottish Longbreads","Bergamo","Italy","1996-09-09"
"Alice Mutton","Charleroi","Belgium","1996-09-10"
"Ipoh Coffee","Charleroi","Belgium","1996-09-10"
"Rössle Sauerkraut","Charleroi","Belgium","1996-09-10"
"Boston Crab Meat","Sevilla","Spain","1996-09-11"
"Louisiana Fiery Hot Pepper Sauce","Sevilla","Spain","1996-09-11"
"Scottish Longbreads","Sevilla","Spain","1996-09-11"
"Flotemysost","México D.F.","Mexico","1996-09-12"
"Maxilaku","México D.F.","Mexico","1996-09-12"
"Raclette Courdavault","México D.F.","Mexico","1996-09-12"
"Carnarvon Tigers","Anchorage","USA","1996-09-13"
"Chartreuse verte","Anchorage","USA","1996-09-13"
"Thüringer Rostbratwurst","Anchorage","USA","1996-09-13"
"Nord-Ost Matjeshering","Madrid","Spain","1996-09-16"
"Perth Pasties","Madrid","Spain","1996-09-16"
"Tourtière","Madrid","Spain","1996-09-16"
"Scottish Longbreads","Portland","USA","1996-09-17"
"Tarte au sucre","Portland","USA","1996-09-17"
"Gudbrandsdalsost","México D.F.","Mexico","1996-09-18"
"Outback Lager","México D.F.","Mexico","1996-09-18"
"Chef Anton's Cajun Seasoning","Cork","Ireland","1996-09-19"
"Flotemysost","Cork","Ireland","1996-09-19"
"Grandma's Boysenberry Spread","Cork","Ireland","1996-09-19"
"Ipoh Coffee","Cork","Ireland","1996-09-19"
"Singaporean Hokkien Fried Mee","Cork","Ireland","1996-09-19"
"Gudbrandsdalsost","Nantes","France","1996-09-20"
"Pavlova","Portland","USA","1996-09-20"
"Singaporean Hokkien Fried Mee","Nantes","France","1996-09-20"
"Tarte au sucre","Portland","USA","1996-09-20"
"Ipoh Coffee","Stuttgart","Germany","1996-09-23"
"Perth Pasties","Stuttgart","Germany","1996-09-23"
"Rhönbräu Klosterbier","Stuttgart","Germany","1996-09-23"
"Rössle Sauerkraut","Stuttgart","Germany","1996-09-23"
"Inlagd Sill","Cunewalde","Germany","1996-09-24"
"Escargots de Bourgogne","Albuquerque","USA","1996-09-25"
"Mascarpone Fabioli","Albuquerque","USA","1996-09-25"
"Tarte au sucre","Albuquerque","USA","1996-09-25"
"Outback Lager","Cowes","UK","1996-09-26"
"Sasquatch Ale","Cowes","UK","1996-09-26"
"Jack's New England Clam Chowder","Albuquerque","USA","1996-09-27"
"Tarte au sucre","Albuquerque","USA","1996-09-27"
"Chai","Portland","USA","1996-09-30"
"Jack's New England Clam Chowder","Cowes","UK","1996-10-01"
"Lakkalikööri","Cowes","UK","1996-10-01"
"Alice Mutton","México D.F.","Mexico","1996-10-02"
"Lakkalikööri","México D.F.","Mexico","1996-10-02"
"Rössle Sauerkraut","México D.F.","Mexico","1996-10-02"
"Flotemysost","Oulu","Finland","1996-10-03"
"Steeleye Stout","Cowes","UK","1996-10-03"
"Filo Mix","México D.F.","Mexico","1996-10-04"
"Chartreuse verte","Brandenburg","Germany","1996-10-07"
"Genen Shouyu","Brandenburg","Germany","1996-10-07"
"NuNuCa Nuß-Nougat-Creme","Brandenburg","Germany","1996-10-07"
"Pavlova","Boise","USA","1996-10-08"
"Raclette Courdavault","Boise","USA","1996-10-08"
"Spegesild","Boise","USA","1996-10-08"
"Steeleye Stout","Boise","USA","1996-10-08"
"Vegie-spread","Boise","USA","1996-10-08"
"Gorgonzola Telino","Brandenburg","Germany","1996-10-09"
"Grandma's Boysenberry Spread","Brandenburg","Germany","1996-10-09"
"Konbu","Brandenburg","Germany","1996-10-09"
"Mozzarella di Giovanni","Brandenburg","Germany","1996-10-09"
"Tofu","Brandenburg","Germany","1996-10-09"
"Chef Anton's Cajun Seasoning","Madrid","Spain","1996-10-10"
"Ravioli Angelo","Madrid","Spain","1996-10-10"
"Rhönbräu Klosterbier","Madrid","Spain","1996-10-10"
"Chang","Bräcke","Sweden","1996-10-11"
"Escargots de Bourgogne","Bräcke","Sweden","1996-10-11"
"Nord-Ost Matjeshering","Bräcke","Sweden","1996-10-11"
"Queso Cabrales","Bräcke","Sweden","1996-10-11"
"Louisiana Fiery Hot Pepper Sauce","Lisboa","Portugal","1996-10-14"
"Raclette Courdavault","Lisboa","Portugal","1996-10-14"
"Scottish Longbreads","Lisboa","Portugal","1996-10-14"
"Côte de Blaye","Lander","USA","1996-10-15"
"Gnocchi di nonna Alice","Lander","USA","1996-10-15"
"Nord-Ost Matjeshering","Lander","USA","1996-10-15"
"Teatime Chocolate Biscuits","Lander","USA","1996-10-15"
"Gumbär Gummibärchen","Barquisimeto","Venezuela","1996-10-16"
"Mozzarella di Giovanni","Barquisimeto","Venezuela","1996-10-16"
"Tourtière","Marseille","France","1996-10-16"
"Carnarvon Tigers","Montréal","Canada","1996-10-17"
"Singaporean Hokkien Fried Mee","Montréal","Canada","1996-10-17"
"Zaanse koeken","Montréal","Canada","1996-10-17"
"Flotemysost","Oulu","Finland","1996-10-18"
"Sir Rodney's Scones","Oulu","Finland","1996-10-18"
"Tofu","Oulu","Finland","1996-10-18"
"Filo Mix","Lyon","France","1996-10-21"
"Scottish Longbreads","Lyon","France","1996-10-21"
"Chang","Cork","Ireland","1996-10-22"
"Gorgonzola Telino","Cork","Ireland","1996-10-22"
"Manjimup Dried Apples","Cork","Ireland","1996-10-22"
"Mascarpone Fabioli","Cork","Ireland","1996-10-22"
"Chef Anton's Cajun Seasoning","Lisboa","Portugal","1996-10-23"
"Gravad lax","München","Germany","1996-10-24"
"Gumbär Gummibärchen","München","Germany","1996-10-24"
"Inlagd Sill","München","Germany","1996-10-24"
"Mozzarella di Giovanni","München","Germany","1996-10-24"
"Tunnbröd","München","Germany","1996-10-24"
"Alice Mutton","Anchorage","USA","1996-10-25"
"Nord-Ost Matjeshering","Anchorage","USA","1996-10-25"
"Alice Mutton","Montréal","Canada","1996-10-28"
"Chef Anton's Cajun Seasoning","Montréal","Canada","1996-10-28"
"Tarte au sucre","Montréal","Canada","1996-10-28"
"Carnarvon Tigers","Marseille","France","1996-10-29"
"Geitost","Kobenhavn","Denmark","1996-10-29"
"Ipoh Coffee","Marseille","France","1996-10-29"
"Jack's New England Clam Chowder","Marseille","France","1996-10-29"
"Raclette Courdavault","Kobenhavn","Denmark","1996-10-29"
"Chang","München","Germany","1996-10-30"
"Gorgonzola Telino","München","Germany","1996-10-30"
"Inlagd Sill","München","Germany","1996-10-30"
"Pâté chinois","München","Germany","1996-10-30"
"Lakkalikööri","Frankfurt a.M.","Germany","1996-10-31"
"Scottish Longbreads","Frankfurt a.M.","Germany","1996-10-31"
"Wimmers gute Semmelknödel","Frankfurt a.M.","Germany","1996-10-31"
"Chef Anton's Cajun Seasoning","Seattle","USA","1996-11-01"
"Northwoods Cranberry Sauce","Seattle","USA","1996-11-01"
"Northwoods Cranberry Sauce","Cunewalde","Germany","1996-11-04"
"Singaporean Hokkien Fried Mee","Cunewalde","Germany","1996-11-04"
"Teatime Chocolate Biscuits","Cunewalde","Germany","1996-11-04"
"Alice Mutton","Albuquerque","USA","1996-11-05"
"Gnocchi di nonna Alice","Albuquerque","USA","1996-11-05"
"Boston Crab Meat","Sao Paulo","Brazil","1996-11-06"
"Chartreuse verte","Sao Paulo","Brazil","1996-11-06"
"NuNuCa Nuß-Nougat-Creme","Sao Paulo","Brazil","1996-11-06"
"Rhönbräu Klosterbier","Sao Paulo","Brazil","1996-11-06"
"Chai","Stuttgart","Germany","1996-11-07"
"Tunnbröd","Stuttgart","Germany","1996-11-07"
"Tourtière","Lander","USA","1996-11-08"
"Côte de Blaye","Graz","Austria","1996-11-11"
"Gudbrandsdalsost","Toulouse","France","1996-11-11"
"Gula Malacca","Graz","Austria","1996-11-11"
"Jack's New England Clam Chowder","Graz","Austria","1996-11-11"
"Louisiana Fiery Hot Pepper Sauce","Graz","Austria","1996-11-11"
"Valkoinen suklaa","Toulouse","France","1996-11-11"
"Guaraná Fantástica","Lisboa","Portugal","1996-11-12"
"Tourtière","Lisboa","Portugal","1996-11-12"
"Côte de Blaye","Salzburg","Austria","1996-11-13"
"Queso Cabrales","Salzburg","Austria","1996-11-13"
"Chai","México D.F.","Mexico","1996-11-14"
"Thüringer Rostbratwurst","México D.F.","Mexico","1996-11-14"
"Guaraná Fantástica","Colchester","UK","1996-11-15"
"Ravioli Angelo","Colchester","UK","1996-11-15"
"Gorgonzola Telino","Stuttgart","Germany","1996-11-18"
"Gudbrandsdalsost","Stuttgart","Germany","1996-11-18"
"Pâté chinois","Stuttgart","Germany","1996-11-18"
"Camembert Pierrot","Barquisimeto","Venezuela","1996-11-19"
"Gumbär Gummibärchen","Barquisimeto","Venezuela","1996-11-19"
"Ikura","Barquisimeto","Venezuela","1996-11-19"
"Guaraná Fantástica","Toulouse","France","1996-11-20"
"Inlagd Sill","Toulouse","France","1996-11-20"
"Sasquatch Ale","Toulouse","France","1996-11-20"
"Camembert Pierrot","London","UK","1996-11-21"
"Gorgonzola Telino","London","UK","1996-11-21"
"Pavlova","London","UK","1996-11-21"
"Camembert Pierrot","Cunewalde","Germany","1996-11-22"
"Chartreuse verte","Cunewalde","Germany","1996-11-22"
"Côte de Blaye","Strasbourg","France","1996-11-22"
"Maxilaku","Strasbourg","France","1996-11-22"
"Rössle Sauerkraut","Strasbourg","France","1996-11-22"
"Thüringer Rostbratwurst","Strasbourg","France","1996-11-22"
"Tourtière","Strasbourg","France","1996-11-22"
"Manjimup Dried Apples","Marseille","France","1996-11-25"
"NuNuCa Nuß-Nougat-Creme","Marseille","France","1996-11-25"
"Tourtière","Marseille","France","1996-11-25"
"Flotemysost","London","UK","1996-11-26"
"Gorgonzola Telino","Aachen","Germany","1996-11-26"
"Gudbrandsdalsost","London","UK","1996-11-26"
"Lakkalikööri","Aachen","Germany","1996-11-26"
"Rhönbräu Klosterbier","Aachen","Germany","1996-11-26"
"Queso Cabrales","México D.F.","Mexico","1996-11-27"
"Louisiana Fiery Hot Pepper Sauce","Århus","Denmark","1996-11-28"
"Louisiana Fiery Hot Pepper Sauce","Barcelona","Spain","1996-11-28"
"Original Frankfurter grüne Soße","Århus","Denmark","1996-11-28"
"Original Frankfurter grüne Soße","Barcelona","Spain","1996-11-28"
"Sasquatch Ale","Århus","Denmark","1996-11-28"
"Tourtière","Århus","Denmark","1996-11-28"
"Ravioli Angelo","Graz","Austria","1996-11-29"
"Rössle Sauerkraut","Graz","Austria","1996-11-29"
"Sir Rodney's Scones","Graz","Austria","1996-11-29"
"Wimmers gute Semmelknödel","Graz","Austria","1996-11-29"
"Gnocchi di nonna Alice","Lander","USA","1996-12-02"
"Thüringer Rostbratwurst","Lander","USA","1996-12-02"
"Chai","Bern","Switzerland","1996-12-03"
"Inlagd Sill","Toulouse","France","1996-12-03"
"Longlife Tofu","Bern","Switzerland","1996-12-03"
"Wimmers gute Semmelknödel","Bern","Switzerland","1996-12-03"
"Camembert Pierrot","Sao Paulo","Brazil","1996-12-04"
"Côte de Blaye","Sao Paulo","Brazil","1996-12-04"
"Mozzarella di Giovanni","Sao Paulo","Brazil","1996-12-04"
"Sir Rodney's Marmalade","Sao Paulo","Brazil","1996-12-04"
"Escargots de Bourgogne","Cork","Ireland","1996-12-05"
"Escargots de Bourgogne","Warszawa","Poland","1996-12-05"
"Flotemysost","Cork","Ireland","1996-12-05"
"Gorgonzola Telino","Warszawa","Poland","1996-12-05"
"Tofu","Elgin","USA","1996-12-06"
"Tourtière","Elgin","USA","1996-12-06"
"Chartreuse verte","London","UK","1996-12-09"
"Gorgonzola Telino","Montréal","Canada","1996-12-09"
"Rössle Sauerkraut","London","UK","1996-12-09"
"Flotemysost","Bräcke","Sweden","1996-12-10"
"Jack's New England Clam Chowder","Rio de Janeiro","Brazil","1996-12-11"
"Louisiana Fiery Hot Pepper Sauce","Rio de Janeiro","Brazil","1996-12-11"
"Vegie-spread","Rio de Janeiro","Brazil","1996-12-11"
"Camembert Pierrot","Cork","Ireland","1996-12-12"
"Longlife Tofu","Barquisimeto","Venezuela","1996-12-12"
"Nord-Ost Matjeshering","Cork","Ireland","1996-12-12"
"Outback Lager","Cork","Ireland","1996-12-12"
"Perth Pasties","Cork","Ireland","1996-12-12"
"Carnarvon Tigers","Graz","Austria","1996-12-13"
"Chef Anton's Gumbo Mix","Graz","Austria","1996-12-13"
"Geitost","Graz","Austria","1996-12-13"
"Longlife Tofu","Graz","Austria","1996-12-13"
"Thüringer Rostbratwurst","Graz","Austria","1996-12-13"
"Camembert Pierrot","Luleå","Sweden","1996-12-16"
"Gnocchi di nonna Alice","Colchester","UK","1996-12-16"
"Konbu","Colchester","UK","1996-12-16"
"Sir Rodney's Marmalade","Luleå","Sweden","1996-12-16"
"Valkoinen suklaa","Colchester","UK","1996-12-16"
"Camembert Pierrot","Lander","USA","1996-12-17"
"Scottish Longbreads","Lander","USA","1996-12-17"
"Uncle Bob's Organic Dried Pears","Lander","USA","1996-12-17"
"Flotemysost","Stavern","Norway","1996-12-18"
"Guaraná Fantástica","Sao Paulo","Brazil","1996-12-18"
"Guaraná Fantástica","Stavern","Norway","1996-12-18"
"Raclette Courdavault","Stavern","Norway","1996-12-18"
"Rössle Sauerkraut","Stavern","Norway","1996-12-18"
"Sasquatch Ale","Sao Paulo","Brazil","1996-12-18"
"Filo Mix","London","UK","1996-12-19"
"Perth Pasties","London","UK","1996-12-19"
"Rogede sild","London","UK","1996-12-19"
"Ikura","Tsawassen","Canada","1996-12-20"
"Outback Lager","Tsawassen","Canada","1996-12-20"
"Pâté chinois","Tsawassen","Canada","1996-12-20"
"Tarte au sucre","Tsawassen","Canada","1996-12-20"
"Gorgonzola Telino","Graz","Austria","1996-12-23"
"Konbu","Aachen","Germany","1996-12-23"
"Mozzarella di Giovanni","Graz","Austria","1996-12-23"
"Spegesild","Graz","Austria","1996-12-23"
"Steeleye Stout","Graz","Austria","1996-12-23"
"Gudbrandsdalsost","Salzburg","Austria","1996-12-24"
"Chang","Boise","USA","1996-12-25"
"Gorgonzola Telino","Boise","USA","1996-12-25"
"Gumbär Gummibärchen","Boise","USA","1996-12-25"
"Konbu","Elgin","USA","1996-12-25"
"NuNuCa Nuß-Nougat-Creme","Boise","USA","1996-12-25"
"Tarte au sucre","Elgin","USA","1996-12-25"
"Tofu","Boise","USA","1996-12-25"
"Gudbrandsdalsost","San Cristóbal","Venezuela","1996-12-26"
"Perth Pasties","San Cristóbal","Venezuela","1996-12-26"
"Spegesild","San Cristóbal","Venezuela","1996-12-26"
"Flotemysost","München","Germany","1996-12-27"
"Manjimup Dried Apples","Lisboa","Portugal","1996-12-27"
"Mozzarella di Giovanni","München","Germany","1996-12-27"
"Sir Rodney's Scones","Lisboa","Portugal","1996-12-27"
"Tunnbröd","München","Germany","1996-12-27"
"Pâté chinois","Boise","USA","1996-12-30"
"Steeleye Stout","Boise","USA","1996-12-30"
"Flotemysost","Århus","Denmark","1996-12-31"
"Lakkalikööri","Århus","Denmark","1996-12-31"
"Original Frankfurter grüne Soße","Århus","Denmark","1996-12-31"
"Scottish Longbreads","Århus","Denmark","1996-12-31"
"Flotemysost","Albuquerque","USA","1997-01-01"
"Gnocchi di nonna Alice","Albuquerque","USA","1997-01-01"
"Louisiana Fiery Hot Pepper Sauce","Albuquerque","USA","1997-01-01"
"Maxilaku","London","UK","1997-01-01"
"Nord-Ost Matjeshering","Albuquerque","USA","1997-01-01"
"Steeleye Stout","London","UK","1997-01-01"
"Thüringer Rostbratwurst","London","UK","1997-01-01"
"Tunnbröd","Graz","Austria","1997-01-02"
"Vegie-spread","Graz","Austria","1997-01-02"
"Chocolade","Graz","Austria","1997-01-03"
"Gumbär Gummibärchen","Bergamo","Italy","1997-01-03"
"Maxilaku","Bergamo","Italy","1997-01-03"
"Pavlova","Graz","Austria","1997-01-03"
"Singaporean Hokkien Fried Mee","Bergamo","Italy","1997-01-03"
"Aniseed Syrup","I. de Margarita","Venezuela","1997-01-06"
"Boston Crab Meat","Sao Paulo","Brazil","1997-01-07"
"Chai","Sao Paulo","Brazil","1997-01-07"
"Flotemysost","Köln","Germany","1997-01-07"
"Gudbrandsdalsost","Köln","Germany","1997-01-07"
"Inlagd Sill","Sao Paulo","Brazil","1997-01-07"
"Queso Cabrales","Köln","Germany","1997-01-07"
"Rössle Sauerkraut","Sao Paulo","Brazil","1997-01-07"
"Sir Rodney's Scones","Sao Paulo","Brazil","1997-01-07"
"Gravad lax","Lille","France","1997-01-08"
"Tarte au sucre","Lille","France","1997-01-08"
"Tourtière","Lille","France","1997-01-08"
"Sir Rodney's Scones","Buenos Aires","Argentina","1997-01-09"
"Tofu","Buenos Aires","Argentina","1997-01-09"
"Geitost","Tsawassen","Canada","1997-01-10"
"Gula Malacca","Tsawassen","Canada","1997-01-10"
"Jack's New England Clam Chowder","Tsawassen","Canada","1997-01-10"
"Raclette Courdavault","Tsawassen","Canada","1997-01-10"
"Tofu","Oulu","Finland","1997-01-13"
"Chai","Toulouse","France","1997-01-14"
"Geitost","Sao Paulo","Brazil","1997-01-14"
"Lakkalikööri","Toulouse","France","1997-01-14"
"Tarte au sucre","Toulouse","France","1997-01-14"
"Teatime Chocolate Biscuits","Sao Paulo","Brazil","1997-01-14"
"Alice Mutton","Elgin","USA","1997-01-15"
"Geitost","Elgin","USA","1997-01-15"
"Côte de Blaye","Kobenhavn","Denmark","1997-01-16"
"Original Frankfurter grüne Soße","Kobenhavn","Denmark","1997-01-16"
"Perth Pasties","Oulu","Finland","1997-01-16"
"Ravioli Angelo","Oulu","Finland","1997-01-16"
"Scottish Longbreads","Kobenhavn","Denmark","1997-01-16"
"Spegesild","Kobenhavn","Denmark","1997-01-16"
"Teatime Chocolate Biscuits","Oulu","Finland","1997-01-16"
"Chang","Cunewalde","Germany","1997-01-17"
"Longlife Tofu","Cunewalde","Germany","1997-01-17"
"Sirop d'érable","Cunewalde","Germany","1997-01-17"
"Zaanse koeken","Cunewalde","Germany","1997-01-17"
"Camembert Pierrot","Genève","Switzerland","1997-01-20"
"Gudbrandsdalsost","Genève","Switzerland","1997-01-20"
"Gumbär Gummibärchen","Rio de Janeiro","Brazil","1997-01-21"
"Konbu","Resende","Brazil","1997-01-21"
"Mishi Kobe Niku","Resende","Brazil","1997-01-21"
"Original Frankfurter grüne Soße","Rio de Janeiro","Brazil","1997-01-21"
"Outback Lager","Resende","Brazil","1997-01-21"
"Perth Pasties","Rio de Janeiro","Brazil","1997-01-21"
"Röd Kaviar","Resende","Brazil","1997-01-21"
"Teatime Chocolate Biscuits","Rio de Janeiro","Brazil","1997-01-21"
"Gumbär Gummibärchen","Torino","Italy","1997-01-22"
"Côte de Blaye","Montréal","Canada","1997-01-23"
"Gorgonzola Telino","Campinas","Brazil","1997-01-23"
"Raclette Courdavault","Campinas","Brazil","1997-01-23"
"Scottish Longbreads","Montréal","Canada","1997-01-23"
"Steeleye Stout","Montréal","Canada","1997-01-23"
"Lakkalikööri","Toulouse","France","1997-01-24"
"Pâté chinois","Toulouse","France","1997-01-24"
"Gnocchi di nonna Alice","Barcelona","Spain","1997-01-27"
"Tofu","Salzburg","Austria","1997-01-27"
"Wimmers gute Semmelknödel","Barcelona","Spain","1997-01-27"
"Spegesild","Reggio Emilia","Italy","1997-01-28"
